noise_percentage,confidence_factor,size_of_the_tree
03.650,0.475,542
03.650,0.4,474
03.650,0.5,542
03.700,0.025,1
03.700,0.05,38
03.700,0.075,38
03.700,0.125,38
03.700,0.150,41
03.700,0.175,88
03.700,0.1,38
03.700,0.225,115
03.700,0.25,201
03.700,0.275,226
03.700,0.2,92
03.700,0.325,330
03.700,0.350,349
03.700,0.375,414
03.700,0.3,242
03.700,0.425,479
03.700,0.45,497
03.700,0.475,533
03.700,0.4,462
03.700,0.5,533
03.750,0.025,1
03.750,0.05,38
03.750,0.075,38
03.750,0.125,38
03.750,0.150,82
03.750,0.175,82
03.750,0.1,38
03.750,0.225,86
03.750,0.25,148
03.750,0.275,148
03.750,0.2,86
03.750,0.325,330
03.750,0.350,330
03.750,0.375,409
03.750,0.3,276
03.750,0.425,437
03.750,0.45,497
03.750,0.475,497
03.750,0.4,429
03.750,0.5,497
03.800,0.025,1
03.800,0.05,34
03.800,0.075,36
03.800,0.125,36
03.800,0.150,36
03.800,0.175,36
03.800,0.1,36
03.800,0.225,123
03.800,0.25,127
03.800,0.275,154
03.800,0.2,40
03.800,0.325,415
03.800,0.350,459
03.800,0.375,476
03.800,0.3,215
03.800,0.425,539
03.800,0.45,553
03.800,0.475,564
03.800,0.4,513
03.800,0.5,564
03.850,0.025,1
03.850,0.05,44
03.850,0.075,44
03.850,0.125,44
03.850,0.150,44
03.850,0.175,58
03.850,0.1,44
03.850,0.225,105
03.850,0.25,107
03.850,0.275,113
03.850,0.2,62
03.850,0.325,431
03.850,0.350,423
03.850,0.375,463
03.850,0.3,371
03.850,0.425,539
03.850,0.45,551
03.850,0.475,588
03.850,0.4,512
03.850,0.5,588
03.900,0.025,1
03.900,0.05,38
03.900,0.075,38
03.900,0.125,38
03.900,0.150,49
03.900,0.175,49
03.900,0.1,38
03.900,0.225,53
03.900,0.25,155
03.900,0.275,161
03.900,0.2,53
03.900,0.325,389
03.900,0.350,397
03.900,0.375,484
03.900,0.3,193
03.900,0.425,528
03.900,0.45,558
03.900,0.475,570
03.900,0.4,504
03.900,0.5,570
03.950,0.025,1
03.950,0.05,38
03.950,0.075,38
03.950,0.125,38
03.950,0.150,41
03.950,0.175,132
03.950,0.1,38
03.950,0.225,159
03.950,0.25,162
03.950,0.275,164
03.950,0.2,141
03.950,0.325,413
03.950,0.350,460
03.950,0.375,494
03.950,0.3,405
03.950,0.425,571
03.950,0.45,590
03.950,0.475,590
03.950,0.4,525
03.950,0.5,590
04.000,0.025,1
04.000,0.05,38
04.000,0.075,38
04.000,0.125,38
04.000,0.150,41
04.000,0.175,53
04.000,0.1,38
04.000,0.225,166
04.000,0.25,170
04.000,0.275,233
04.000,0.2,57
04.000,0.325,419
04.000,0.350,467
04.000,0.375,500
04.000,0.3,237
04.000,0.425,550
04.000,0.45,556
04.000,0.475,568
04.000,0.4,528
04.000,0.5,568
04.050,0.025,1
04.050,0.05,43
04.050,0.075,50
04.050,0.125,50
04.050,0.150,50
04.050,0.175,50
04.050,0.1,50
04.050,0.225,77
04.050,0.25,288
04.050,0.275,314
04.050,0.2,83
04.050,0.325,380
04.050,0.350,437
04.050,0.375,507
04.050,0.3,358
04.050,0.425,543
04.050,0.45,599
04.050,0.475,643
04.050,0.4,515
04.050,0.5,643
04.100,0.025,1
04.100,0.05,38
04.100,0.075,38
04.100,0.125,38
04.100,0.150,41
04.100,0.175,41
04.100,0.1,38
04.100,0.225,93
04.100,0.25,96
04.100,0.275,297
04.100,0.2,53
04.100,0.325,353
04.100,0.350,489
04.100,0.375,494
04.100,0.3,305
04.100,0.425,552
04.100,0.45,565
04.100,0.475,601
04.100,0.4,531
04.100,0.5,601
04.150,0.025,1
04.150,0.05,38
04.150,0.075,38
04.150,0.125,38
04.150,0.150,41
04.150,0.175,49
04.150,0.1,38
04.150,0.225,149
04.150,0.25,130
04.150,0.275,364
04.150,0.2,53
