noise_percentage,confidence_factor,size_of_the_tree
27.450,0.125,51
27.450,0.150,51
27.450,0.175,131
27.450,0.1,51
27.450,0.225,131
27.450,0.25,359
27.450,0.275,377
27.450,0.2,131
27.450,0.325,465
27.450,0.350,521
27.450,0.375,546
27.450,0.3,430
27.450,0.425,701
27.450,0.45,734
27.450,0.475,734
27.450,0.4,663
27.450,0.5,734
27.500,0.025,1
27.500,0.05,1
27.500,0.075,50
27.500,0.125,56
27.500,0.150,151
27.500,0.175,173
27.500,0.1,56
27.500,0.225,211
27.500,0.25,265
27.500,0.275,270
27.500,0.2,186
27.500,0.325,504
27.500,0.350,517
27.500,0.375,530
27.500,0.3,481
27.500,0.425,636
27.500,0.45,663
27.500,0.475,688
27.500,0.4,589
27.500,0.5,688
27.550,0.025,1
27.550,0.05,1
27.550,0.075,1
27.550,0.125,50
27.550,0.150,50
27.550,0.175,50
27.550,0.1,1
27.550,0.225,268
27.550,0.25,275
27.550,0.275,489
27.550,0.2,256
27.550,0.325,565
27.550,0.350,576
27.550,0.375,619
27.550,0.3,512
27.550,0.425,688
27.550,0.45,696
27.550,0.475,708
27.550,0.4,669
27.550,0.5,740
27.600,0.025,1
27.600,0.05,1
27.600,0.075,1
27.600,0.125,50
27.600,0.150,72
27.600,0.175,75
27.600,0.1,1
27.600,0.225,220
27.600,0.25,231
27.600,0.275,524
27.600,0.2,159
27.600,0.325,557
27.600,0.350,557
27.600,0.375,586
27.600,0.3,551
27.600,0.425,633
27.600,0.45,648
27.600,0.475,671
27.600,0.4,598
27.600,0.5,671
27.650,0.025,1
27.650,0.05,1
27.650,0.075,1
27.650,0.125,51
27.650,0.150,82
27.650,0.175,115
27.650,0.1,37
27.650,0.225,279
27.650,0.25,279
27.650,0.275,320
27.650,0.2,253
27.650,0.325,512
27.650,0.350,604
27.650,0.375,614
27.650,0.3,501
27.650,0.425,687
27.650,0.45,702
27.650,0.475,702
27.650,0.4,629
27.650,0.5,702
27.700,0.025,1
27.700,0.05,1
27.700,0.075,48
27.700,0.125,53
27.700,0.150,53
27.700,0.175,53
27.700,0.1,53
27.700,0.225,237
27.700,0.25,246
27.700,0.275,469
27.700,0.2,72
27.700,0.325,521
27.700,0.350,575
27.700,0.375,574
27.700,0.3,523
27.700,0.425,675
27.700,0.45,681
27.700,0.475,681
27.700,0.4,587
27.700,0.5,698
27.750,0.025,1
27.750,0.05,1
27.750,0.075,1
27.750,0.125,83
27.750,0.150,83
27.750,0.175,83
27.750,0.1,42
27.750,0.225,147
27.750,0.25,177
27.750,0.275,205
27.750,0.2,88
27.750,0.325,538
27.750,0.350,647
27.750,0.375,656
27.750,0.3,500
27.750,0.425,724
27.750,0.45,730
27.750,0.475,730
27.750,0.4,707
27.750,0.5,759
27.800,0.025,1
27.800,0.05,1
27.800,0.075,1
27.800,0.125,52
27.800,0.150,137
27.800,0.175,165
27.800,0.1,52
27.800,0.225,168
27.800,0.25,237
27.800,0.275,389
27.800,0.2,165
27.800,0.325,529
27.800,0.350,580
27.800,0.375,589
27.800,0.3,498
27.800,0.425,665
27.800,0.45,680
27.800,0.475,717
27.800,0.4,624
27.800,0.5,717
27.850,0.025,1
27.850,0.05,1
27.850,0.075,1
27.850,0.125,81
27.850,0.150,81
27.850,0.175,81
27.850,0.1,1
27.850,0.225,216
27.850,0.25,430
27.850,0.275,519
27.850,0.2,195
27.850,0.325,552
27.850,0.350,574
27.850,0.375,602
27.850,0.3,550
27.850,0.425,651
27.850,0.45,670
27.850,0.475,681
27.850,0.4,643
27.850,0.5,714
27.900,0.025,1
27.900,0.05,1
27.900,0.075,1
27.900,0.125,66
27.900,0.150,66
27.900,0.175,66
27.900,0.1,66
27.900,0.225,142
27.900,0.25,223
27.900,0.275,272
27.900,0.2,66
27.900,0.325,580
27.900,0.350,612
27.900,0.375,638
27.900,0.3,545
27.900,0.425,674
27.900,0.45,701
27.900,0.475,733
27.900,0.4,660
27.900,0.5,751
27.950,0.025,1
27.950,0.05,1
27.950,0.075,1
27.950,0.125,55
27.950,0.150,58
27.950,0.175,58
27.950,0.1,55
27.950,0.225,167
27.950,0.25,167
27.950,0.275,405
27.950,0.2,58
27.950,0.325,475
27.950,0.350,551
27.950,0.375,582
27.950,0.3,438
27.950,0.425,621
27.950,0.45,731
27.950,0.475,742
27.950,0.4,604
27.950,0.5,742
28.000,0.025,1
28.000,0.05,1
28.000,0.075,36
28.000,0.125,36
28.000,0.150,46
28.000,0.175,46
28.000,0.1,36
28.000,0.225,275
28.000,0.25,475
28.000,0.275,539
28.000,0.2,143
28.000,0.325,580
28.000,0.350,612
28.000,0.375,646
28.000,0.3,572
28.000,0.425,678
28.000,0.45,687
28.000,0.475,710
28.000,0.4,653
28.000,0.5,710
28.050,0.025,1
28.050,0.05,1
28.050,0.075,1
28.050,0.125,44
28.050,0.150,44
28.050,0.175,44
28.050,0.1,44
28.050,0.225,276
28.050,0.25,347
28.050,0.275,404
28.050,0.2,44
28.050,0.325,531
28.050,0.350,599
28.050,0.375,637
28.050,0.3,414
28.050,0.425,711
28.050,0.45,711
28.050,0.475,711
28.050,0.4,681
28.050,0.5,711
28.100,0.025,1
28.100,0.05,1
28.100,0.075,1
28.100,0.125,54
28.100,0.150,57
28.100,0.175,57
28.100,0.1,1
28.100,0.225,164
28.100,0.25,228
28.100,0.275,537
28.100,0.2,158
28.100,0.325,588
28.100,0.350,593
28.100,0.375,607
28.100,0.3,576
28.100,0.425,665
28.100,0.45,688
28.100,0.475,688
28.100,0.4,630
28.100,0.5,688
28.150,0.025,1
28.150,0.05,1
28.150,0.075,1
28.150,0.125,58
28.150,0.150,58
28.150,0.175,58
28.150,0.1,55
28.150,0.225,107
28.150,0.25,138
28.150,0.275,433
28.150,0.2,58
28.150,0.325,543
28.150,0.350,586
28.150,0.375,620
28.150,0.3,526
28.150,0.425,719
28.150,0.45,719
28.150,0.475,786
28.150,0.4,682
28.150,0.5,786
28.200,0.025,1
28.200,0.05,1
28.200,0.075,1
28.200,0.125,48
28.200,0.150,132
28.200,0.175,139
28.200,0.1,1
28.200,0.225,204
28.200,0.25,215
28.200,0.275,384
28.200,0.2,134
28.200,0.325,441
28.200,0.350,489
28.200,0.375,537
28.200,0.3,431
28.200,0.425,645
28.200,0.45,645
28.200,0.475,659
28.200,0.4,589
28.200,0.5,659
28.250,0.025,1
28.250,0.05,1
28.250,0.075,32
28.250,0.125,32
28.250,0.150,36
28.250,0.175,128
28.250,0.1,32
28.250,0.225,139
28.250,0.25,146
28.250,0.275,445
28.250,0.2,128
28.250,0.325,552
28.250,0.350,580
28.250,0.375,609
28.250,0.3,499
28.250,0.425,688
28.250,0.45,730
28.250,0.475,762
28.250,0.4,640
28.250,0.5,762
28.300,0.025,1
28.300,0.05,1
28.300,0.075,1
28.300,0.125,57
28.300,0.150,57
28.300,0.175,57
28.300,0.1,1
28.300,0.225,168
28.300,0.25,211
28.300,0.275,223
28.300,0.2,121
28.300,0.325,472
28.300,0.350,511
28.300,0.375,536
28.300,0.3,256
28.300,0.425,641
28.300,0.45,664
28.300,0.475,664
28.300,0.4,595
28.300,0.5,679
28.350,0.025,1
28.350,0.05,1
28.350,0.075,1
28.350,0.125,42
28.350,0.150,45
28.350,0.175,45
28.350,0.1,42
28.350,0.225,415
28.350,0.25,464
28.350,0.275,485
28.350,0.2,220
28.350,0.325,511
28.350,0.350,544
28.350,0.375,624
28.350,0.3,496
28.350,0.425,709
28.350,0.45,725
28.350,0.475,737
28.350,0.4,649
28.350,0.5,737
28.400,0.025,1
28.400,0.05,1
28.400,0.075,68
28.400,0.125,76
28.400,0.150,76
28.400,0.175,158
28.400,0.1,76
28.400,0.225,194
28.400,0.25,206
28.400,0.275,358
28.400,0.2,158
28.400,0.325,501
28.400,0.350,591
28.400,0.375,626
28.400,0.3,372
28.400,0.425,638
28.400,0.45,658
28.400,0.475,658
28.400,0.4,626
28.400,0.5,658
28.450,0.025,1
28.450,0.05,1
28.450,0.075,50
28.450,0.125,55
28.450,0.150,55
28.450,0.175,55
28.450,0.1,55
28.450,0.225,55
28.450,0.25,134
28.450,0.275,454
28.450,0.2,55
28.450,0.325,531
28.450,0.350,582
28.450,0.375,678
28.450,0.3,518
28.450,0.425,709
28.450,0.45,715
28.450,0.475,726
28.450,0.4,696
28.450,0.5,748
28.500,0.025,1
28.500,0.05,1
28.500,0.075,1
28.500,0.125,53
28.500,0.150,53
28.500,0.175,57
28.500,0.1,1
28.500,0.225,72
28.500,0.25,169
28.500,0.275,351
28.500,0.2,60
28.500,0.325,562
28.500,0.350,579
28.500,0.375,614
28.500,0.3,552
28.500,0.425,636
28.500,0.45,651
28.500,0.475,673
28.500,0.4,626
28.500,0.5,673
28.550,0.025,1
28.550,0.05,1
28.550,0.075,1
28.550,0.125,62
28.550,0.150,62
28.550,0.175,62
28.550,0.1,1
28.550,0.225,67
28.550,0.25,67
28.550,0.275,257
28.550,0.2,67
28.550,0.325,426
28.550,0.350,459
28.550,0.375,539
28.550,0.3,289
28.550,0.425,559
28.550,0.45,573
28.550,0.475,599
28.550,0.4,546
28.550,0.5,599
28.600,0.025,1
28.600,0.05,1
28.600,0.075,1
28.600,0.125,59
28.600,0.150,51
28.600,0.175,51
28.600,0.1,30
28.600,0.225,256
28.600,0.25,391
28.600,0.275,420
28.600,0.2,51
28.600,0.325,537
28.600,0.350,565
28.600,0.375,676
28.600,0.3,454
28.600,0.425,722
28.600,0.45,722
28.600,0.475,729
28.600,0.4,710
28.600,0.5,729
28.650,0.025,1
28.650,0.05,1
28.650,0.075,65
28.650,0.125,126
28.650,0.150,126
28.650,0.175,126
28.650,0.1,65
28.650,0.225,140
28.650,0.25,235
28.650,0.275,320
28.650,0.2,133
28.650,0.325,512
28.650,0.350,500
28.650,0.375,598
28.650,0.3,471
28.650,0.425,660
28.650,0.45,690
28.650,0.475,690
28.650,0.4,634
28.650,0.5,690
28.700,0.025,1
28.700,0.05,1
28.700,0.075,50
28.700,0.125,50
28.700,0.150,50
28.700,0.175,119
28.700,0.1,50
28.700,0.225,221
28.700,0.25,303
28.700,0.275,317
28.700,0.2,119
28.700,0.325,595
28.700,0.350,647
28.700,0.375,653
28.700,0.3,589
28.700,0.425,682
28.700,0.45,716
28.700,0.475,731
28.700,0.4,666
28.700,0.5,731
28.750,0.025,1
28.750,0.05,50
28.750,0.075,50
28.750,0.125,53
28.750,0.150,53
28.750,0.175,53
28.750,0.1,50
28.750,0.225,408
28.750,0.25,408
28.750,0.275,414
28.750,0.2,55
28.750,0.325,580
28.750,0.350,596
28.750,0.375,621
28.750,0.3,481
28.750,0.425,689
28.750,0.45,689
28.750,0.475,700
28.750,0.4,669
28.750,0.5,700
28.800,0.025,1
28.800,0.05,1
28.800,0.075,29
28.800,0.125,52
28.800,0.150,63
28.800,0.175,63
28.800,0.1,37
28.800,0.225,392
28.800,0.25,437
28.800,0.275,452
28.800,0.2,163
28.800,0.325,546
28.800,0.350,565
28.800,0.375,604
28.800,0.3,544
28.800,0.425,672
28.800,0.45,692
28.800,0.475,734
28.800,0.4,627
28.800,0.5,734
28.850,0.025,1
28.850,0.05,1
28.850,0.075,1
28.850,0.125,124
28.850,0.150,142
28.850,0.175,196
28.850,0.1,86
28.850,0.225,266
28.850,0.25,401
28.850,0.275,505
28.850,0.2,249
28.850,0.325,575
28.850,0.350,582
28.850,0.375,616
28.850,0.3,535
28.850,0.425,652
28.850,0.45,675
28.850,0.475,715
28.850,0.4,615
28.850,0.5,715
28.900,0.025,1
28.900,0.05,1
28.900,0.075,43
28.900,0.125,67
28.900,0.150,67
28.900,0.175,156
28.900,0.1,43
28.900,0.225,193
28.900,0.25,207
28.900,0.275,407
28.900,0.2,186
28.900,0.325,597
28.900,0.350,618
28.900,0.375,650
28.900,0.3,492
28.900,0.425,720
28.900,0.45,743
28.900,0.475,759
28.900,0.4,677
28.900,0.5,759
28.950,0.025,1
28.950,0.05,40
28.950,0.075,46
28.950,0.125,55
28.950,0.150,55
28.950,0.175,55
28.950,0.1,49
28.950,0.225,223
28.950,0.25,231
28.950,0.275,472
28.950,0.2,223
28.950,0.325,626
28.950,0.350,631
28.950,0.375,649
28.950,0.3,580
28.950,0.425,721
28.950,0.45,735
28.950,0.475,748
28.950,0.4,667
28.950,0.5,748
29.000,0.025,1
29.000,0.05,23
29.000,0.075,29
29.000,0.125,29
29.000,0.150,35
29.000,0.175,185
29.000,0.1,29
29.000,0.225,221
29.000,0.25,229
29.000,0.275,439
29.000,0.2,217
29.000,0.325,579
29.000,0.350,613
29.000,0.375,661
29.000,0.3,532
29.000,0.425,726
29.000,0.45,733
29.000,0.475,733
29.000,0.4,674
29.000,0.5,733
29.050,0.025,1
29.050,0.05,1
29.050,0.075,25
29.050,0.125,43
29.050,0.150,66
29.050,0.175,72
29.050,0.1,25
29.050,0.225,90
29.050,0.25,306
29.050,0.275,426
29.050,0.2,81
29.050,0.325,585
29.050,0.350,585
29.050,0.375,611
29.050,0.3,550
29.050,0.425,711
29.050,0.45,754
29.050,0.475,754
29.050,0.4,661
29.050,0.5,754
29.100,0.025,1
29.100,0.05,1
29.100,0.075,1
29.100,0.125,48
29.100,0.150,58
29.100,0.175,58
29.100,0.1,48
29.100,0.225,287
29.100,0.25,278
29.100,0.275,463
29.100,0.2,274
29.100,0.325,500
29.100,0.350,562
29.100,0.375,602
29.100,0.3,491
29.100,0.425,723
29.100,0.45,752
29.100,0.475,752
29.100,0.4,609
29.100,0.5,762
29.150,0.025,1
29.150,0.05,39
29.150,0.075,41
29.150,0.125,41
29.150,0.150,56
29.150,0.175,153
29.150,0.1,41
29.150,0.225,190
29.150,0.25,362
29.150,0.275,453
29.150,0.2,175
29.150,0.325,511
29.150,0.350,607
29.150,0.375,637
29.150,0.3,492
29.150,0.425,720
29.150,0.45,731
29.150,0.475,745
29.150,0.4,679
29.150,0.5,745
29.200,0.025,1
29.200,0.05,1
29.200,0.075,1
29.200,0.125,49
29.200,0.150,49
29.200,0.175,49
29.200,0.1,49
29.200,0.225,259
29.200,0.25,259
29.200,0.275,548
29.200,0.2,49
29.200,0.325,580
29.200,0.350,585
29.200,0.375,641
29.200,0.3,567
29.200,0.425,701
29.200,0.45,708
29.200,0.475,731
29.200,0.4,660
29.200,0.5,731
29.250,0.025,1
29.250,0.05,1
29.250,0.075,1
29.250,0.125,31
29.250,0.150,41
29.250,0.175,58
29.250,0.1,1
29.250,0.225,186
29.250,0.25,207
29.250,0.275,437
29.250,0.2,182
29.250,0.325,524
29.250,0.350,549
29.250,0.375,549
29.250,0.3,480
29.250,0.425,617
29.250,0.45,665
29.250,0.475,669
29.250,0.4,603
29.250,0.5,669
29.300,0.025,1
29.300,0.05,1
29.300,0.075,1
29.300,0.125,52
29.300,0.150,55
29.300,0.175,96
29.300,0.1,52
29.300,0.225,207
29.300,0.25,357
29.300,0.275,368
29.300,0.2,207
29.300,0.325,553
29.300,0.350,565
29.300,0.375,585
29.300,0.3,461
29.300,0.425,669
29.300,0.45,684
29.300,0.475,704
29.300,0.4,625
29.300,0.5,704
29.350,0.025,1
29.350,0.05,1
29.350,0.075,1
29.350,0.125,56
29.350,0.150,81
29.350,0.175,81
29.350,0.1,56
29.350,0.225,185
29.350,0.25,381
29.350,0.275,564
29.350,0.2,163
29.350,0.325,571
29.350,0.350,599
29.350,0.375,614
29.350,0.3,568
29.350,0.425,672
29.350,0.45,701
29.350,0.475,709
29.350,0.4,634
29.350,0.5,709
29.400,0.025,1
29.400,0.05,1
29.400,0.075,1
29.400,0.125,37
29.400,0.150,47
29.400,0.175,118
29.400,0.1,37
29.400,0.225,189
29.400,0.25,211
29.400,0.275,253
29.400,0.2,184
29.400,0.325,447
29.400,0.350,491
29.400,0.375,608
29.400,0.3,483
29.400,0.425,664
29.400,0.45,683
29.400,0.475,683
29.400,0.4,625
29.400,0.5,683
29.450,0.025,1
29.450,0.05,1
29.450,0.075,46
29.450,0.125,49
29.450,0.150,49
29.450,0.175,49
29.450,0.1,49
29.450,0.225,75
29.450,0.25,445
29.450,0.275,481
29.450,0.2,49
29.450,0.325,627
29.450,0.350,667
29.450,0.375,672
29.450,0.3,571
29.450,0.425,699
29.450,0.45,722
29.450,0.475,722
29.450,0.4,684
29.450,0.5,722
29.500,0.025,1
29.500,0.05,1
29.500,0.075,31
29.500,0.125,57
29.500,0.150,114
29.500,0.175,126
29.500,0.1,45
29.500,0.225,228
29.500,0.25,235
29.500,0.275,448
29.500,0.2,216
29.500,0.325,505
29.500,0.350,521
29.500,0.375,601
29.500,0.3,473
29.500,0.425,627
29.500,0.45,627
29.500,0.475,627
29.500,0.4,615
29.500,0.5,656
29.550,0.025,1
29.550,0.05,38
29.550,0.075,40
29.550,0.125,40
29.550,0.150,98
29.550,0.175,187
29.550,0.1,40
29.550,0.225,188
29.550,0.25,325
29.550,0.275,380
29.550,0.2,197
29.550,0.325,543
29.550,0.350,543
29.550,0.375,645
29.550,0.3,440
29.550,0.425,689
29.550,0.45,714
29.550,0.475,714
29.550,0.4,657
29.550,0.5,733
29.600,0.025,1
29.600,0.05,1
29.600,0.075,1
29.600,0.125,58
29.600,0.150,58
29.600,0.175,58
29.600,0.1,58
29.600,0.225,58
29.600,0.25,386
29.600,0.275,420
29.600,0.2,58
29.600,0.325,502
29.600,0.350,531
29.600,0.375,570
29.600,0.3,471
29.600,0.425,624
29.600,0.45,651
29.600,0.475,662
29.600,0.4,600
29.600,0.5,662
29.650,0.025,1
29.650,0.05,1
29.650,0.075,1
29.650,0.125,47
29.650,0.150,74
29.650,0.175,47
29.650,0.1,1
29.650,0.225,250
29.650,0.25,250
29.650,0.275,441
29.650,0.2,224
29.650,0.325,496
29.650,0.350,586
29.650,0.375,624
29.650,0.3,475
29.650,0.425,729
29.650,0.45,744
29.650,0.475,744
29.650,0.4,691
29.650,0.5,744
29.700,0.025,1
29.700,0.05,1
29.700,0.075,58
29.700,0.125,66
29.700,0.150,140
29.700,0.175,140
29.700,0.1,66
29.700,0.225,197
29.700,0.25,474
29.700,0.275,511
29.700,0.2,145
29.700,0.325,578
29.700,0.350,611
29.700,0.375,617
29.700,0.3,533
29.700,0.425,638
29.700,0.45,686
29.700,0.475,708
29.700,0.4,623
29.700,0.5,708
29.750,0.025,1
29.750,0.05,1
29.750,0.075,1
29.750,0.125,77
29.750,0.150,194
29.750,0.175,225
29.750,0.1,1
29.750,0.225,252
29.750,0.25,431
29.750,0.275,488
29.750,0.2,236
29.750,0.325,509
29.750,0.350,576
29.750,0.375,581
29.750,0.3,503
29.750,0.425,657
29.750,0.45,686
29.750,0.475,697
29.750,0.4,620
29.750,0.5,713
29.800,0.025,1
29.800,0.05,1
29.800,0.075,1
29.800,0.125,42
29.800,0.150,42
29.800,0.175,42
29.800,0.1,42
29.800,0.225,157
29.800,0.25,194
29.800,0.275,457
29.800,0.2,48
29.800,0.325,564
29.800,0.350,568
29.800,0.375,582
29.800,0.3,547
29.800,0.425,688
29.800,0.45,722
29.800,0.475,768
29.800,0.4,613
29.800,0.5,768
29.850,0.025,1
29.850,0.05,34
29.850,0.075,57
29.850,0.125,90
29.850,0.150,97
29.850,0.175,97
29.850,0.1,57
29.850,0.225,120
29.850,0.25,158
29.850,0.275,173
29.850,0.2,107
29.850,0.325,565
29.850,0.350,581
29.850,0.375,591
29.850,0.3,458
29.850,0.425,655
29.850,0.45,669
29.850,0.475,691
29.850,0.4,612
29.850,0.5,691
29.900,0.025,1
29.900,0.05,1
29.900,0.075,1
29.900,0.125,1
29.900,0.150,47
29.900,0.175,47
29.900,0.1,1
29.900,0.225,140
29.900,0.25,194
29.900,0.275,438
29.900,0.2,75
29.900,0.325,565
29.900,0.350,634
29.900,0.375,648
29.900,0.3,485
29.900,0.425,682
29.900,0.45,690
29.900,0.475,690
29.900,0.4,667
29.900,0.5,728
29.950,0.025,1
29.950,0.05,1
29.950,0.075,1
29.950,0.125,78
29.950,0.150,78
29.950,0.175,78
29.950,0.1,75
29.950,0.225,86
29.950,0.25,89
29.950,0.275,269
29.950,0.2,78
29.950,0.325,516
29.950,0.350,499
29.950,0.375,611
29.950,0.3,501
29.950,0.425,714
29.950,0.45,734
29.950,0.475,761
29.950,0.4,701
29.950,0.5,761
30.000,0.025,1
30.000,0.05,1
30.000,0.075,45
30.000,0.125,77
30.000,0.150,77
30.000,0.175,77
30.000,0.1,77
30.000,0.225,172
30.000,0.25,211
30.000,0.275,488
30.000,0.2,82
30.000,0.325,618
30.000,0.350,648
30.000,0.375,648
30.000,0.3,509
30.000,0.425,738
30.000,0.45,784
30.000,0.475,784
30.000,0.4,685
30.000,0.5,784
30.050,0.025,1
30.050,0.05,1
30.050,0.075,1
30.050,0.125,51
30.050,0.150,51
30.050,0.175,91
30.050,0.1,1
30.050,0.225,213
30.050,0.25,435
30.050,0.275,506
30.050,0.2,205
30.050,0.325,529
30.050,0.350,652
30.050,0.375,699
30.050,0.3,519
30.050,0.425,725
30.050,0.45,741
30.050,0.475,762
30.050,0.4,717
30.050,0.5,762
30.100,0.025,1
30.100,0.05,1
30.100,0.075,1
30.100,0.125,45
30.100,0.150,37
30.100,0.175,43
30.100,0.1,1
30.100,0.225,354
30.100,0.25,388
30.100,0.275,403
30.100,0.2,60
30.100,0.325,553
30.100,0.350,634
30.100,0.375,642
30.100,0.3,518
30.100,0.425,679
30.100,0.45,711
30.100,0.475,721
30.100,0.4,658
30.100,0.5,721
30.150,0.025,1
30.150,0.05,1
30.150,0.075,1
30.150,0.125,131
30.150,0.150,147
30.150,0.175,183
30.150,0.1,1
30.150,0.225,309
30.150,0.25,330
30.150,0.275,430
30.150,0.2,193
30.150,0.325,593
30.150,0.350,619
30.150,0.375,643
30.150,0.3,504
30.150,0.425,693
30.150,0.45,718
30.150,0.475,736
30.150,0.4,657
30.150,0.5,753
30.200,0.025,1
30.200,0.05,1
30.200,0.075,1
30.200,0.125,48
30.200,0.150,48
30.200,0.175,48
30.200,0.1,48
30.200,0.225,148
30.200,0.25,269
30.200,0.275,419
30.200,0.2,82
30.200,0.325,542
30.200,0.350,549
30.200,0.375,549
30.200,0.3,448
30.200,0.425,638
30.200,0.45,647
30.200,0.475,689
30.200,0.4,604
30.200,0.5,689
30.250,0.025,1
30.250,0.05,1
30.250,0.075,1
30.250,0.125,58
30.250,0.150,58
30.250,0.175,58
30.250,0.1,52
30.250,0.225,58
30.250,0.25,236
30.250,0.275,269
30.250,0.2,58
30.250,0.325,569
30.250,0.350,625
30.250,0.375,646
30.250,0.3,309
30.250,0.425,741
30.250,0.45,757
30.250,0.475,768
30.250,0.4,674
30.250,0.5,768
30.300,0.025,1
30.300,0.05,1
30.300,0.075,1
30.300,0.125,1
30.300,0.150,1
30.300,0.175,50
30.300,0.1,1
30.300,0.225,340
30.300,0.25,352
30.300,0.275,354
30.300,0.2,175
30.300,0.325,535
30.300,0.350,582
30.300,0.375,608
30.300,0.3,382
30.300,0.425,723
30.300,0.45,765
30.300,0.475,777
30.300,0.4,680
30.300,0.5,777
30.350,0.025,1
30.350,0.05,1
30.350,0.075,1
30.350,0.125,1
30.350,0.150,73
30.350,0.175,82
30.350,0.1,1
30.350,0.225,148
30.350,0.25,160
30.350,0.275,195
30.350,0.2,144
30.350,0.325,557
30.350,0.350,567
30.350,0.375,646
30.350,0.3,508
30.350,0.425,691
30.350,0.45,726
30.350,0.475,726
30.350,0.4,685
30.350,0.5,726
30.400,0.025,1
30.400,0.05,1
30.400,0.075,1
30.400,0.125,91
30.400,0.150,91
30.400,0.175,91
30.400,0.1,1
30.400,0.225,318
30.400,0.25,382
30.400,0.275,402
30.400,0.2,296
30.400,0.325,453
30.400,0.350,629
30.400,0.375,685
30.400,0.3,378
30.400,0.425,734
30.400,0.45,734
30.400,0.475,734
30.400,0.4,720
30.400,0.5,734
30.450,0.025,1
30.450,0.05,1
30.450,0.075,1
30.450,0.125,41
30.450,0.150,68
30.450,0.175,119
30.450,0.1,1
30.450,0.225,145
30.450,0.25,216
30.450,0.275,216
30.450,0.2,145
30.450,0.325,456
30.450,0.350,555
30.450,0.375,605
30.450,0.3,445
30.450,0.425,701
30.450,0.45,715
30.450,0.475,715
30.450,0.4,643
30.450,0.5,715
30.500,0.025,1
30.500,0.05,1
30.500,0.075,1
30.500,0.125,35
30.500,0.150,44
30.500,0.175,51
30.500,0.1,1
30.500,0.225,220
30.500,0.25,410
30.500,0.275,519
30.500,0.2,220
30.500,0.325,663
30.500,0.350,663
30.500,0.375,663
30.500,0.3,566
30.500,0.425,714
30.500,0.45,720
30.500,0.475,731
30.500,0.4,669
30.500,0.5,731
30.550,0.025,1
30.550,0.05,1
30.550,0.075,42
30.550,0.125,48
30.550,0.150,48
30.550,0.175,48
30.550,0.1,54
30.550,0.225,100
30.550,0.25,260
30.550,0.275,268
30.550,0.2,97
30.550,0.325,595
30.550,0.350,688
30.550,0.375,705
30.550,0.3,576
30.550,0.425,737
30.550,0.45,737
30.550,0.475,737
30.550,0.4,721
30.550,0.5,737
30.600,0.025,1
30.600,0.05,1
30.600,0.075,1
30.600,0.125,82
30.600,0.150,93
30.600,0.175,121
30.600,0.1,32
30.600,0.225,123
30.600,0.25,247
30.600,0.275,423
30.600,0.2,121
30.600,0.325,490
30.600,0.350,500
30.600,0.375,565
30.600,0.3,490
30.600,0.425,682
30.600,0.45,711
30.600,0.475,718
30.600,0.4,659
30.600,0.5,718
30.650,0.025,1
30.650,0.05,1
30.650,0.075,1
30.650,0.125,79
30.650,0.150,99
30.650,0.175,99
30.650,0.1,79
30.650,0.225,236
30.650,0.25,266
30.650,0.275,534
30.650,0.2,99
30.650,0.325,588
30.650,0.350,634
30.650,0.375,686
30.650,0.3,565
30.650,0.425,752
30.650,0.45,758
30.650,0.475,790
30.650,0.4,746
30.650,0.5,790
30.700,0.025,1
30.700,0.05,1
30.700,0.075,1
30.700,0.125,51
30.700,0.150,51
30.700,0.175,51
30.700,0.1,1
30.700,0.225,274
30.700,0.25,300
30.700,0.275,293
30.700,0.2,139
30.700,0.325,567
30.700,0.350,588
30.700,0.375,621
30.700,0.3,534
30.700,0.425,695
30.700,0.45,708
30.700,0.475,708
30.700,0.4,657
30.700,0.5,708
30.750,0.025,1
30.750,0.05,1
30.750,0.075,52
30.750,0.125,54
30.750,0.150,54
30.750,0.175,54
30.750,0.1,54
30.750,0.225,408
30.750,0.25,420
30.750,0.275,471
30.750,0.2,245
30.750,0.325,599
30.750,0.350,603
30.750,0.375,610
30.750,0.3,520
30.750,0.425,674
30.750,0.45,725
30.750,0.475,736
30.750,0.4,624
30.750,0.5,736
30.800,0.025,1
30.800,0.05,1
30.800,0.075,1
30.800,0.125,121
30.800,0.150,121
30.800,0.175,128
30.800,0.1,43
30.800,0.225,123
30.800,0.25,210
30.800,0.275,475
30.800,0.2,120
30.800,0.325,525
30.800,0.350,601
30.800,0.375,621
30.800,0.3,496
30.800,0.425,681
30.800,0.45,691
30.800,0.475,691
30.800,0.4,621
30.800,0.5,691
30.850,0.025,1
30.850,0.05,1
30.850,0.075,1
30.850,0.125,37
30.850,0.150,41
30.850,0.175,44
30.850,0.1,37
30.850,0.225,173
30.850,0.25,315
30.850,0.275,321
30.850,0.2,44
30.850,0.325,594
30.850,0.350,619
30.850,0.375,625
30.850,0.3,560
30.850,0.425,703
30.850,0.45,703
30.850,0.475,739
30.850,0.4,661
30.850,0.5,739
30.900,0.025,1
30.900,0.05,1
30.900,0.075,1
30.900,0.125,51
30.900,0.150,51
30.900,0.175,51
30.900,0.1,51
30.900,0.225,160
30.900,0.25,179
30.900,0.275,251
30.900,0.2,158
30.900,0.325,529
30.900,0.350,551
30.900,0.375,572
30.900,0.3,493
30.900,0.425,620
30.900,0.45,641
30.900,0.475,674
30.900,0.4,584
30.900,0.5,674
